date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:06	115/115	---M-Z	200	added ('OK')	text/plain	date:Thu,%2003%20Nov%202022%2009:40:05%20GMT	https://hongduy-wedding.site/robots.txt		(from )
16:40:07	99474/99474	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2009:40:05%20GMT	https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/index73b8.html	(from )
16:40:07	40517/40517	---M-Z	200	added ('OK')	text/css	etag:%229e45-5eb20050500ee-gzip%22	https://hongduy-wedding.site/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.2	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/themes/astra/assets/css/minified/main.min2e46.css	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:07	94821/94821	---M-Z	200	added ('OK')	text/css	etag:%2217265-5ec75f9c87e23-gzip%22	https://hongduy-wedding.site/wp-includes/css/dist/block-library/style.min.css?ver=6.1	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-includes/css/dist/block-library/style.min9b2d.css	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:07	1066/1066	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fa334638c83eaf995548ddb7817ca733-gzip%22	https://hongduy-wedding.site/feed/	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/feed/index.html	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:07	81687/81687	---M-Z	200	added ('OK')	text/css	etag:%2213f17-5ec1a1022c352-gzip%22	https://hongduy-wedding.site/wp-content/uploads/uag-plugin/assets/0/uag-css-15-1666971567.css?ver=2.0.13	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/uag-plugin/assets/0/uag-css-15-1666971567e823.css	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:08	37152/37152	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Nov%202022%2009:40:06%20GMT	https://hongduy-wedding.site/wp-json/wp/v2/pages/15	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-json/wp/v2/pages/15.json	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:08	178516/178516	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Nov%202022%2009:40:07%20GMT	https://hongduy-wedding.site/wp-json/	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-json/index.html	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:08	729/729	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fa334638c83eaf995548ddb7817ca733-gzip%22	https://hongduy-wedding.site/comments/feed/	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/comments/feed/index.html	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:08	834/834	---M-Z	200	added ('OK')	text/xml	date:Thu,%2003%20Nov%202022%2009:40:07%20GMT	https://hongduy-wedding.site/xmlrpc.php?rsd	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/xmlrpc0db0.php	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:09	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	https://hongduy-wedding.site/wp-includes/wlwmanifest.xml	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-includes/wlwmanifest.xml	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:09	2394/2394	---MCZ	200	added ('OK')	application/json	date:Thu,%2003%20Nov%202022%2009:40:07%20GMT	https://hongduy-wedding.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhongduy-wedding.site%2F	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-json/oembed/1.0/embedbd57.json	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:09	2479/2479	---M-Z	200	added ('OK')	text/xml	date:Thu,%2003%20Nov%202022%2009:40:08%20GMT	https://hongduy-wedding.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fhongduy-wedding.site%2F&format=xml	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-json/oembed/1.0/embedf7f2	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:09	2063/2063	---M--	200	added ('OK')	image/png	etag:%2280f-5ebab81ba7045%22	https://hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-32x32.png	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-32x32.png	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:09	21509/21509	---M--	200	added ('OK')	image/png	etag:%225405-5ebab81b8f945%22	https://hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-192x192.png	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-192x192.png	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:10	20927/20927	---M--	200	added ('OK')	image/png	etag:%2251bf-5ebab81ba31c5%22	https://hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-180x180.png	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/2022/10/cropped-3364473-180x180.png	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:10	99474/99474	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2009:40:09%20GMT	https://hongduy-wedding.site/	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/index.html	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:10	431539/431539	---M--	200	added ('OK')	image/jpeg	etag:%22695b3-5ec19f55ce067%22	https://hongduy-wedding.site/wp-content/uploads/2022/10/HAA02744....jpg	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/2022/10/HAA02744....jpg	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:11	1094/1094	---M--	200	added ('OK')	image/png	etag:%22446-5eb20129fc06e%22	http://167.172.80.130/wp-content/uploads/2022/10/flower-icon-01.png	C:/Users/LeeTieens/Desktop/wedding/167.172.80.130/wp-content/uploads/2022/10/flower-icon-01.png	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:11	1211/1211	---M--	200	added ('OK')	image/png	etag:%224bb-5eb2012ac2470%22	http://167.172.80.130/wp-content/uploads/2022/10/rose-icon-01.png	C:/Users/LeeTieens/Desktop/wedding/167.172.80.130/wp-content/uploads/2022/10/rose-icon-01.png	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
16:40:13	6310/6310	---M--	200	added ('OK')	text/html	etag:%2218a6-5eb3d0ba4a185%22	https://hongduy-wedding.site/wp-content/uploads/2022/10/love_wedding-07-512-150x150.webp	C:/Users/LeeTieens/Desktop/wedding/hongduy-wedding.site/wp-content/uploads/2022/10/love_wedding-07-512-150x150.html	(from https://hongduy-wedding.site/?fbclid=IwAR0mkik9vwEq45RKcwO9hUO45rKsyiXfmALXiatng8Tow4t4FESIqla2Lds)
